Country,City,HijriYear,HijriMonth,HijriMonthName,GregorianStartDate,GregorianYear,Authority,Method,SourceURL,ConfidenceScore,Notes,RecordId
Nigeria,Abuja,1403,3,Rabi al-Awwal,,,,,,,,2e60fe65ac6c1458
Nigeria,Abuja,1403,4,Rabi al-Thani,,,,,,,,46c6cf56f057985c
Nigeria,Abuja,1403,5,Jumada al-Ula,,,,,,,,dfbe09700227d277
Nigeria,Abuja,1403,6,Jumada al-Akhirah,,,,,,,,59385c00d8cc54dd
Nigeria,Abuja,1403,7,Rajab,,,,,,,,e4d3490146b67e71
Nigeria,Abuja,1403,8,Shaban,,,,,,,,8e6825faff1977ac
Nigeria,Abuja,1403,9,Ramadan,,,,,,,,a1a44974abc16af0
Nigeria,Abuja,1403,10,Shawwal,,,,,,,,98fb4c38eb4303cc
Nigeria,Abuja,1403,11,Dhu al-Qadah,,,,,,,,9e54a4a615976a1e
Nigeria,Abuja,1403,12,Dhu al-Hijjah,,,,,,,,8307bc2dce7d65e8
Nigeria,Abuja,1404,1,Muharram,,,,,,,,cd81403d63272c33
Nigeria,Abuja,1404,2,Safar,,,,,,,,1d199d74bf0b35c3
Nigeria,Abuja,1404,3,Rabi al-Awwal,,,,,,,,1b2518b0b28303ea
Nigeria,Abuja,1404,4,Rabi al-Thani,,,,,,,,fac1915facff4b6b
Nigeria,Abuja,1404,5,Jumada al-Ula,,,,,,,,3b8be20a4d66ecea
Nigeria,Abuja,1404,6,Jumada al-Akhirah,,,,,,,,2e090a97d3456b16
Nigeria,Abuja,1404,7,Rajab,,,,,,,,4cd722ea8f850042
Nigeria,Abuja,1404,8,Shaban,,,,,,,,412c8b0d0af2e278
Nigeria,Abuja,1404,9,Ramadan,,,,,,,,e601f490e7a44b39
Nigeria,Abuja,1404,10,Shawwal,,,,,,,,48201a54604e7c66
Nigeria,Abuja,1404,11,Dhu al-Qadah,,,,,,,,c976b322abe6a381
Nigeria,Abuja,1404,12,Dhu al-Hijjah,,,,,,,,692e428c2f29a356
Nigeria,Abuja,1405,1,Muharram,,,,,,,,92a64238dd9a6442
Nigeria,Abuja,1405,2,Safar,,,,,,,,0743431f03031690
Nigeria,Abuja,1405,3,Rabi al-Awwal,,,,,,,,fce7e86690f73db4
Nigeria,Abuja,1405,4,Rabi al-Thani,,,,,,,,1f0b426aa59c7cca
Nigeria,Abuja,1405,5,Jumada al-Ula,,,,,,,,01c0485ffa91113f
Nigeria,Abuja,1405,6,Jumada al-Akhirah,,,,,,,,5bec7ef93a952d20
Nigeria,Abuja,1405,7,Rajab,,,,,,,,9023791af5ee340b
Nigeria,Abuja,1405,8,Shaban,,,,,,,,a13eebfc6307c23d
Nigeria,Abuja,1405,9,Ramadan,,,,,,,,485ea59ffff46cf5
Nigeria,Abuja,1405,10,Shawwal,,,,,,,,eb0ebc91e712fab0
Nigeria,Abuja,1405,11,Dhu al-Qadah,,,,,,,,73a1806095d6cffd
Nigeria,Abuja,1405,12,Dhu al-Hijjah,,,,,,,,5c06e524b907f222
Nigeria,Abuja,1406,1,Muharram,,,,,,,,3ecdbbced389f32c
Nigeria,Abuja,1406,2,Safar,,,,,,,,12e7be5e2188ba74
Nigeria,Abuja,1406,3,Rabi al-Awwal,,,,,,,,66fd8dae4439e8d9
Nigeria,Abuja,1406,4,Rabi al-Thani,,,,,,,,a0e4a1cb4562ffb3
Nigeria,Abuja,1406,5,Jumada al-Ula,,,,,,,,655db6e76eab215e
Nigeria,Abuja,1406,6,Jumada al-Akhirah,,,,,,,,ca174ef0d0e85c3f
Nigeria,Abuja,1406,7,Rajab,,,,,,,,00eb984bc5e6321d
Nigeria,Abuja,1406,8,Shaban,,,,,,,,764ec62707c166e5
Nigeria,Abuja,1406,9,Ramadan,,,,,,,,e89708dea4e81bd1
Nigeria,Abuja,1406,10,Shawwal,,,,,,,,041c2c4691b97285
Nigeria,Abuja,1406,11,Dhu al-Qadah,,,,,,,,392fccc7fb0ec52a
Nigeria,Abuja,1406,12,Dhu al-Hijjah,,,,,,,,7b2e0a4d2bc462ff
Nigeria,Abuja,1407,1,Muharram,,,,,,,,2a2cae9ce70db70b
Nigeria,Abuja,1407,2,Safar,,,,,,,,bb695aab1e969411
Nigeria,Abuja,1407,3,Rabi al-Awwal,,,,,,,,d6b0694ebce428c9
Nigeria,Abuja,1407,4,Rabi al-Thani,,,,,,,,6a7c7d15586300d4
Nigeria,Abuja,1407,5,Jumada al-Ula,,,,,,,,dfded447503edaf1
Nigeria,Abuja,1407,6,Jumada al-Akhirah,,,,,,,,e89cfa2221b2f9bf
Nigeria,Abuja,1407,7,Rajab,,,,,,,,38bfebae22db163b
Nigeria,Abuja,1407,8,Shaban,,,,,,,,5b47b127e98a4811
Nigeria,Abuja,1407,9,Ramadan,,,,,,,,43c24c5c64acde80
Nigeria,Abuja,1407,10,Shawwal,,,,,,,,02df281b4b5f905f
Nigeria,Abuja,1407,11,Dhu al-Qadah,,,,,,,,fdd68d1fa66ee741
Nigeria,Abuja,1407,12,Dhu al-Hijjah,,,,,,,,a23eff0301aa6391
Nigeria,Abuja,1408,1,Muharram,,,,,,,,a04d21330d81a40e
Nigeria,Abuja,1408,2,Safar,,,,,,,,30d600bdb969444b
Nigeria,Abuja,1408,3,Rabi al-Awwal,,,,,,,,7b62dcf40443a0ba
Nigeria,Abuja,1408,4,Rabi al-Thani,,,,,,,,1c1418123a9bccd9
Nigeria,Abuja,1408,5,Jumada al-Ula,,,,,,,,00e70b117c059652
Nigeria,Abuja,1408,6,Jumada al-Akhirah,,,,,,,,5eb996d9761c532d
Nigeria,Abuja,1408,7,Rajab,,,,,,,,cfa1ccacafc42578
Nigeria,Abuja,1408,8,Shaban,,,,,,,,e23f451c528dbbf4
Nigeria,Abuja,1408,9,Ramadan,,,,,,,,d7198204ee42083c
Nigeria,Abuja,1408,10,Shawwal,,,,,,,,9ba6b477f343990f
Nigeria,Abuja,1408,11,Dhu al-Qadah,,,,,,,,9fa75e8b08d82d93
Nigeria,Abuja,1408,12,Dhu al-Hijjah,,,,,,,,d9984fbd74995fca
Nigeria,Abuja,1409,1,Muharram,,,,,,,,59ca045b67edcad6
Nigeria,Abuja,1409,2,Safar,,,,,,,,17fd35441f3eb8cd
